"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 16:00:49 GMT 2023","Tue May 02 16:00:49 GMT 2023","589","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsXAndRefresh","'Terms and conditions' elutasítása majd frissítés","'Terms and conditions' ablak bezárása,majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Tue May 02 16:00:50 GMT 2023","Tue May 02 16:00:51 GMT 2023","966","","ButtonsTest","","ButtonsTest","testBlogButton","Blog gomb teszt",""
"passed","Tue May 02 16:01:02 GMT 2023","Tue May 02 16:01:03 GMT 2023","900","","LoginAndLogoutTest","","LoginAndLogoutTest","testLogout","Kijelentkezés",""
"failed","Tue May 02 16:00:31 GMT 2023","Tue May 02 16:00:32 GMT 2023","1168","","RegistrationTest","","RegistrationTest","testRegistrationInvalidData","Regisztráció helytelen adatokkal","Regisztráció tesztelése nem megfelelő formátumú adatokkal"
"passed","Tue May 02 16:00:56 GMT 2023","Tue May 02 16:00:57 GMT 2023","911","","ButtonsTest","","ButtonsTest","testSeeOurWorkButton","See Our Work button teszt",""
"passed","Tue May 02 16:00:40 GMT 2023","Tue May 02 16:00:41 GMT 2023","1352","","ProfileTest","","ProfileTest","testDeleteData","Adatok törlése",""
"passed","Tue May 02 16:00:49 GMT 2023","Tue May 02 16:00:50 GMT 2023","1056","","ButtonsTest","","ButtonsTest","testAboutButton","About gomb teszt",""
"passed","Tue May 02 16:01:01 GMT 2023","Tue May 02 16:01:02 GMT 2023","865","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithValidUser","Bejelentkezés érvényes adatokkal",""
"passed","Tue May 02 16:00:34 GMT 2023","Tue May 02 16:00:35 GMT 2023","1100","","AboutTest","","AboutTest","testSaveTextFromAboutPage","Leírás ellenőrzése",""
"passed","Tue May 02 16:01:01 GMT 2023","Tue May 02 16:01:01 GMT 2023","691","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithInvalidUser","Bejelentkezés helytelen adatokkal",""
"passed","Tue May 02 16:00:42 GMT 2023","Tue May 02 16:00:44 GMT 2023","1720","","ProfileTest","","ProfileTest","testDeleteProfileAndLogin","Profil törlése és belépés",""
"failed","Tue May 02 16:00:44 GMT 2023","Tue May 02 16:00:45 GMT 2023","1453","","ProfileTest","","ProfileTest","testEditProfile","A profil adatainak módosítása",""
"passed","Tue May 02 16:00:38 GMT 2023","Tue May 02 16:00:40 GMT 2023","1876","","ContactTest","","ContactTest","testFillContact","Üzenetküldés tesztelése",""
"failed","Tue May 02 16:00:45 GMT 2023","Tue May 02 16:00:47 GMT 2023","1788","","ProfileTest","","ProfileTest","testModify","A profil adatainak módosítása,beviteli mezők tesztelése",""
"passed","Tue May 02 16:00:55 GMT 2023","Tue May 02 16:00:56 GMT 2023","876","","ButtonsTest","","ButtonsTest","testProfileButton","Profile gomb teszt",""
"passed","Tue May 02 16:00:35 GMT 2023","Tue May 02 16:00:38 GMT 2023","2310","","PortfolioTest","","PortfolioTest","testGetProducts","Termékek neveinek ellenőrzése",""
"passed","Tue May 02 16:00:12 GMT 2023","Tue May 02 16:00:29 GMT 2023","17595","","RegistrationTest","","RegistrationTest","testRegistrationAndVerify","Regisztráció és ellenőrzés","Egy felhasználó létrehozása majd azzal történő bejelentkezés"
"failed","Tue May 02 16:00:41 GMT 2023","Tue May 02 16:00:42 GMT 2023","1064","","ProfileTest","","ProfileTest","testDeleteProfile","Profil törlése",""
"passed","Tue May 02 16:00:54 GMT 2023","Tue May 02 16:00:55 GMT 2023","937","","ButtonsTest","","ButtonsTest","testPortfolioButton","Portfolio gomb teszt",""
"failed","Tue May 02 16:00:29 GMT 2023","Tue May 02 16:00:31 GMT 2023","1170","","RegistrationTest","","RegistrationTest","testRegistrationEmptyFields","Regisztráció üres mezőkkel","Regisztráció tesztelése a mezők kitöltése nélkül"
"passed","Tue May 02 16:00:51 GMT 2023","Tue May 02 16:00:52 GMT 2023","961","","ButtonsTest","","ButtonsTest","testConnectWithUs","Connect With Us gomb teszt",""
"passed","Tue May 02 16:00:33 GMT 2023","Tue May 02 16:00:34 GMT 2023","1587","","AboutTest","","AboutTest","getNamesTest","Dolgozók nevének ellenőrzése",""
"failed","Tue May 02 16:00:53 GMT 2023","Tue May 02 16:00:54 GMT 2023","1012","","ButtonsTest","","ButtonsTest","testHomeButton","Home gomb teszt",""
"passed","Tue May 02 16:01:00 GMT 2023","Tue May 02 16:01:01 GMT 2023","697","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithEmptyInput","Bejelentkezés üres mezőkkel",""
"passed","Tue May 02 16:00:57 GMT 2023","Tue May 02 16:01:00 GMT 2023","2954","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginMultipleUsers","Bejelentkezés több felhasználóval",""
"passed","Tue May 02 16:00:52 GMT 2023","Tue May 02 16:00:53 GMT 2023","997","","ButtonsTest","","ButtonsTest","testContactButton","Get in touch gomb teszt",""
"passed","Tue May 02 16:00:47 GMT 2023","Tue May 02 16:00:48 GMT 2023","676","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditions","'Terms and conditions' megjelenése","A 'Terms and conditions' ablak láthatóságának tesztelése"
"passed","Tue May 02 16:00:48 GMT 2023","Tue May 02 16:00:49 GMT 2023","519","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAfterClick","'Terms and conditions' elfogadása","A 'Terms and conditions' ablak felugrik és a felhasználó el tudja fogadni"
"passed","Tue May 02 16:00:32 GMT 2023","Tue May 02 16:00:33 GMT 2023","849","","RegistrationTest","","RegistrationTest","testRegistrationValidData","Regisztráció helyes adatokkal","Regisztráció tesztelése megfelelő formátumú adatokkal"
"passed","Tue May 02 16:00:48 GMT 2023","Tue May 02 16:00:48 GMT 2023","552","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAcceptAndRefresh","'Terms and conditions' elfogadása majd frissítés","'Terms and conditions' elfogadása, majd ellenőrzés, hogy ismét megjelenik-e"
