"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 14:08:44 GMT 2023","Tue May 02 14:08:45 GMT 2023","1113","","ButtonsTest","","ButtonsTest","testBlogButton","Blog button test",""
"passed","Tue May 02 14:08:25 GMT 2023","Tue May 02 14:08:27 GMT 2023","1556","","AboutTest","","AboutTest","getNamesTest","Dolgozók nevének ellenőrzése",""
"failed","Tue May 02 14:08:22 GMT 2023","Tue May 02 14:08:23 GMT 2023","970","","RegistrationTest","","RegistrationTest","testRegistrationEmptyFields","Regisztráció üres mezőkkel","Regisztráció tesztelése a mezők kitöltése nélkül"
"passed","Tue May 02 14:08:41 GMT 2023","Tue May 02 14:08:42 GMT 2023","620","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAcceptAndRefresh","'Terms and conditions' elfogadása majd frissítés","'Terms and conditions' elfogadása, majd ellenőrzés, hogy ismét megjelenik-e"
"failed","Tue May 02 14:08:37 GMT 2023","Tue May 02 14:08:39 GMT 2023","1556","","ProfileTest","","ProfileTest","testEditProfile","A profil adatainak módosítása",""
"passed","Tue May 02 14:08:42 GMT 2023","Tue May 02 14:08:43 GMT 2023","618","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsXAndRefresh","'Terms and conditions' elutasítása majd frissítés","'Terms and conditions' ablak bezárása,majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Tue May 02 14:08:28 GMT 2023","Tue May 02 14:08:30 GMT 2023","2409","","PortfolioTest","","PortfolioTest","testGetProducts","Termék nevek ellenőrzése",""
"passed","Tue May 02 14:08:57 GMT 2023","Tue May 02 14:08:58 GMT 2023","1037","","LoginAndLogoutTest","","LoginAndLogoutTest","testLogout","Kijelentkezés",""
"passed","Tue May 02 14:08:46 GMT 2023","Tue May 02 14:08:47 GMT 2023","1100","","ButtonsTest","","ButtonsTest","testContactButton","Get in touch button test",""
"passed","Tue May 02 14:08:48 GMT 2023","Tue May 02 14:08:49 GMT 2023","1007","","ButtonsTest","","ButtonsTest","testPortfolioButton","Portfolio button test",""
"failed","Tue May 02 14:08:47 GMT 2023","Tue May 02 14:08:48 GMT 2023","1004","","ButtonsTest","","ButtonsTest","testHomeButton","Home button test",""
"failed","Tue May 02 14:08:39 GMT 2023","Tue May 02 14:08:41 GMT 2023","2006","","ProfileTest","","ProfileTest","testModify","A profil adatainak módosítása,beviteli mezők tesztelése",""
"passed","Tue May 02 14:08:56 GMT 2023","Tue May 02 14:08:57 GMT 2023","946","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithValidUser","Bejelentkezés érvényes adatokkal",""
"passed","Tue May 02 14:08:30 GMT 2023","Tue May 02 14:08:33 GMT 2023","2206","","ContactTest","","ContactTest","testFillContact","Üzenetküldés tesztelése",""
"passed","Tue May 02 14:08:45 GMT 2023","Tue May 02 14:08:46 GMT 2023","1085","","ButtonsTest","","ButtonsTest","testConnectWithUs","Connect With Us button test",""
"passed","Tue May 02 14:08:55 GMT 2023","Tue May 02 14:08:56 GMT 2023","815","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithEmptyInput","Bejelentkezés üres mezőkkel",""
"passed","Tue May 02 14:08:33 GMT 2023","Tue May 02 14:08:34 GMT 2023","1482","","ProfileTest","","ProfileTest","testDeleteData","Adatok törlése",""
"passed","Tue May 02 14:08:42 GMT 2023","Tue May 02 14:08:42 GMT 2023","612","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAfterClick","'Terms and conditions' elfogadása","A 'Terms and conditions' ablak felugrik és a felhasználó el tudja fogadni"
"failed","Tue May 02 14:08:34 GMT 2023","Tue May 02 14:08:35 GMT 2023","1103","","ProfileTest","","ProfileTest","testDeleteProfile","Profil törlése",""
"passed","Tue May 02 14:08:41 GMT 2023","Tue May 02 14:08:41 GMT 2023","508","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditions","'Terms and conditions' megjelenése","A 'Terms and conditions' ablak láthatóságának tesztelése"
"passed","Tue May 02 14:08:35 GMT 2023","Tue May 02 14:08:37 GMT 2023","1773","","ProfileTest","","ProfileTest","testDeleteProfileAndLogin","Profil törlése és belépés",""
"failed","Tue May 02 14:08:23 GMT 2023","Tue May 02 14:08:24 GMT 2023","1024","","RegistrationTest","","RegistrationTest","testRegistrationInvalidData","Regisztráció helytelen adatokkal","Regisztráció tesztelése nem megfelelő formátumú adatokkal"
"passed","Tue May 02 14:08:43 GMT 2023","Tue May 02 14:08:44 GMT 2023","1077","","ButtonsTest","","ButtonsTest","testAboutButton","About button test",""
"passed","Tue May 02 14:08:52 GMT 2023","Tue May 02 14:08:55 GMT 2023","3138","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginMultipleUsers","Bejelentkezés több felhasználóval",""
"passed","Tue May 02 14:08:50 GMT 2023","Tue May 02 14:08:52 GMT 2023","1067","","ButtonsTest","","ButtonsTest","testSeeOurWorkButton","See Our Work button test",""
"passed","Tue May 02 14:08:19 GMT 2023","Tue May 02 14:08:22 GMT 2023","2958","","RegistrationTest","","RegistrationTest","testRegistrationAndVerify","Regisztráció és ellenőrzés","Egy felhasználó létrehozása majd azzal történő bejelentkezés"
"passed","Tue May 02 14:08:49 GMT 2023","Tue May 02 14:08:50 GMT 2023","1022","","ButtonsTest","","ButtonsTest","testProfileButton","Profile button test",""
"passed","Tue May 02 14:08:24 GMT 2023","Tue May 02 14:08:25 GMT 2023","1010","","RegistrationTest","","RegistrationTest","testRegistrationValidData","Regisztráció helyes adatokkal","Regisztráció tesztelése megfelelő formátumú adatokkal"
"passed","Tue May 02 14:08:56 GMT 2023","Tue May 02 14:08:56 GMT 2023","798","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithInvalidUser","Bejelentkezés helytelen adatokkal",""
"passed","Tue May 02 14:08:27 GMT 2023","Tue May 02 14:08:28 GMT 2023","1096","","AboutTest","","AboutTest","testSaveTextFromAboutPage","Leírás ellenőrzése",""
