"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 14:28:11 GMT 2023","Tue May 02 14:28:12 GMT 2023","669","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAcceptAndRefresh","'Terms and conditions' elfogadása majd frissítés","'Terms and conditions' elfogadása, majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Tue May 02 14:27:56 GMT 2023","Tue May 02 14:27:59 GMT 2023","2871","","PortfolioTest","","PortfolioTest","testGetProducts","Termék nevek ellenőrzése",""
"passed","Tue May 02 14:28:15 GMT 2023","Tue May 02 14:28:16 GMT 2023","1422","","ButtonsTest","","ButtonsTest","testBlogButton","Blog gomb teszt",""
"passed","Tue May 02 14:28:23 GMT 2023","Tue May 02 14:28:24 GMT 2023","1190","","ButtonsTest","","ButtonsTest","testSeeOurWorkButton","See Our Work button teszt",""
"passed","Tue May 02 14:27:51 GMT 2023","Tue May 02 14:27:52 GMT 2023","1076","","RegistrationTest","","RegistrationTest","testRegistrationValidData","Regisztráció helyes adatokkal","Regisztráció tesztelése megfelelő formátumú adatokkal"
"failed","Tue May 02 14:28:07 GMT 2023","Tue May 02 14:28:08 GMT 2023","1691","","ProfileTest","","ProfileTest","testEditProfile","A profil adatainak módosítása",""
"passed","Tue May 02 14:28:13 GMT 2023","Tue May 02 14:28:13 GMT 2023","689","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsXAndRefresh","'Terms and conditions' elutasítása majd frissítés","'Terms and conditions' ablak bezárása,majd ellenőrzés, hogy ismét megjelenik-e"
"failed","Tue May 02 14:28:03 GMT 2023","Tue May 02 14:28:04 GMT 2023","1293","","ProfileTest","","ProfileTest","testDeleteProfile","Profil törlése",""
"passed","Tue May 02 14:28:20 GMT 2023","Tue May 02 14:28:21 GMT 2023","1179","","ButtonsTest","","ButtonsTest","testPortfolioButton","Portfolio gomb teszt",""
"passed","Tue May 02 14:28:30 GMT 2023","Tue May 02 14:28:31 GMT 2023","1168","","LoginAndLogoutTest","","LoginAndLogoutTest","testLogout","Kijelentkezés",""
"failed","Tue May 02 14:28:08 GMT 2023","Tue May 02 14:28:11 GMT 2023","2209","","ProfileTest","","ProfileTest","testModify","A profil adatainak módosítása,beviteli mezők tesztelése",""
"passed","Tue May 02 14:27:34 GMT 2023","Tue May 02 14:27:49 GMT 2023","15241","","RegistrationTest","","RegistrationTest","testRegistrationAndVerify","Regisztráció és ellenőrzés","Egy felhasználó létrehozása majd azzal történő bejelentkezés"
"passed","Tue May 02 14:27:52 GMT 2023","Tue May 02 14:27:55 GMT 2023","2309","","AboutTest","","AboutTest","getNamesTest","Dolgozók nevének ellenőrzése",""
"passed","Tue May 02 14:28:04 GMT 2023","Tue May 02 14:28:07 GMT 2023","2235","","ProfileTest","","ProfileTest","testDeleteProfileAndLogin","Profil törlése és belépés",""
"passed","Tue May 02 14:28:29 GMT 2023","Tue May 02 14:28:30 GMT 2023","1115","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithValidUser","Bejelentkezés érvényes adatokkal",""
"passed","Tue May 02 14:28:13 GMT 2023","Tue May 02 14:28:15 GMT 2023","1296","","ButtonsTest","","ButtonsTest","testAboutButton","About gomb teszt",""
"passed","Tue May 02 14:28:24 GMT 2023","Tue May 02 14:28:27 GMT 2023","3368","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginMultipleUsers","Bejelentkezés több felhasználóval",""
"failed","Tue May 02 14:27:50 GMT 2023","Tue May 02 14:27:51 GMT 2023","1109","","RegistrationTest","","RegistrationTest","testRegistrationInvalidData","Regisztráció helytelen adatokkal","Regisztráció tesztelése nem megfelelő formátumú adatokkal"
"passed","Tue May 02 14:28:28 GMT 2023","Tue May 02 14:28:29 GMT 2023","877","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithInvalidUser","Bejelentkezés helytelen adatokkal",""
"passed","Tue May 02 14:27:59 GMT 2023","Tue May 02 14:28:01 GMT 2023","2491","","ContactTest","","ContactTest","testFillContact","Üzenetküldés tesztelése",""
"passed","Tue May 02 14:28:11 GMT 2023","Tue May 02 14:28:11 GMT 2023","841","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditions","'Terms and conditions' megjelenése","A 'Terms and conditions' ablak láthatóságának tesztelése"
"passed","Tue May 02 14:28:16 GMT 2023","Tue May 02 14:28:17 GMT 2023","1384","","ButtonsTest","","ButtonsTest","testConnectWithUs","Connect With Us gomb teszt",""
"passed","Tue May 02 14:28:18 GMT 2023","Tue May 02 14:28:19 GMT 2023","1365","","ButtonsTest","","ButtonsTest","testContactButton","Get in touch gomb teszt",""
