"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 14:13:37 GMT 2023","Thu May 04 14:13:38 GMT 2023","972","","RegistrationTest","","RegistrationTest","testRegistrationValidData","Regisztráció helyes adatokkal","Regisztráció tesztelése megfelelő formátumú adatokkal"
"passed","Thu May 04 14:14:05 GMT 2023","Thu May 04 14:14:06 GMT 2023","1110","","ButtonsTest","","ButtonsTest","testProfileButton","Profile gomb teszt",""
"passed","Thu May 04 14:14:13 GMT 2023","Thu May 04 14:14:14 GMT 2023","1086","","LoginAndLogoutTest","","LoginAndLogoutTest","testLogout","Kijelentkezés",""
"passed","Thu May 04 14:14:11 GMT 2023","Thu May 04 14:14:11 GMT 2023","789","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithEmptyInput","Bejelentkezés üres mezőkkel",""
"passed","Thu May 04 14:13:59 GMT 2023","Thu May 04 14:14:00 GMT 2023","1552","","ButtonsTest","","ButtonsTest","testBlogButton","Blog gomb teszt",""
"passed","Thu May 04 14:13:31 GMT 2023","Thu May 04 14:13:34 GMT 2023","2711","","RegistrationTest","","RegistrationTest","testRegistrationAndVerify","Regisztráció és ellenőrzés","Egy felhasználó létrehozása majd azzal történő bejelentkezés"
"passed","Thu May 04 14:13:38 GMT 2023","Thu May 04 14:13:40 GMT 2023","1815","","AboutTest","","AboutTest","getNamesTest","Dolgozók nevének ellenőrzése",""
"passed","Thu May 04 14:13:57 GMT 2023","Thu May 04 14:13:57 GMT 2023","660","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsXAndRefresh","'Terms and conditions' elutasítása majd frissítés","'Terms and conditions' ablak bezárása,majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Thu May 04 14:13:55 GMT 2023","Thu May 04 14:13:56 GMT 2023","665","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAcceptAndRefresh","'Terms and conditions' elfogadása majd frissítés","'Terms and conditions' elfogadása, majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Thu May 04 14:13:56 GMT 2023","Thu May 04 14:13:57 GMT 2023","632","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAfterClick","'Terms and conditions' elfogadása","A 'Terms and conditions' ablak felugrik és a felhasználó el tudja fogadni"
"passed","Thu May 04 14:14:01 GMT 2023","Thu May 04 14:14:03 GMT 2023","1257","","ButtonsTest","","ButtonsTest","testContactButton","Get in touch gomb teszt",""
"passed","Thu May 04 14:13:46 GMT 2023","Thu May 04 14:13:48 GMT 2023","1600","","ProfileTest","","ProfileTest","testDeleteData","Adatok törlése",""
"passed","Thu May 04 14:14:04 GMT 2023","Thu May 04 14:14:05 GMT 2023","1287","","ButtonsTest","","ButtonsTest","testPortfolioButton","Portfolio gomb teszt",""
"failed","Thu May 04 14:13:34 GMT 2023","Thu May 04 14:13:35 GMT 2023","1295","","RegistrationTest","","RegistrationTest","testRegistrationEmptyFields","Regisztráció üres mezőkkel","Regisztráció tesztelése a mezők kitöltése nélkül"
"failed","Thu May 04 14:14:03 GMT 2023","Thu May 04 14:14:04 GMT 2023","1196","","ButtonsTest","","ButtonsTest","testHomeButton","Home gomb teszt",""
"passed","Thu May 04 14:13:54 GMT 2023","Thu May 04 14:13:55 GMT 2023","800","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditions","'Terms and conditions' megjelenése","A 'Terms and conditions' ablak láthatóságának tesztelése"
"passed","Thu May 04 14:13:57 GMT 2023","Thu May 04 14:13:59 GMT 2023","1263","","ButtonsTest","","ButtonsTest","testAboutButton","About gomb teszt",""
"passed","Thu May 04 14:14:11 GMT 2023","Thu May 04 14:14:12 GMT 2023","834","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithInvalidUser","Bejelentkezés helytelen adatokkal",""
"passed","Thu May 04 14:13:44 GMT 2023","Thu May 04 14:13:46 GMT 2023","2391","","ContactTest","","ContactTest","testFillContact","Üzenetküldés tesztelése",""
"failed","Thu May 04 14:13:48 GMT 2023","Thu May 04 14:13:49 GMT 2023","1259","","ProfileTest","","ProfileTest","testDeleteProfile","Profil törlése",""
"failed","Thu May 04 14:13:35 GMT 2023","Thu May 04 14:13:37 GMT 2023","1338","","RegistrationTest","","RegistrationTest","testRegistrationInvalidData","Regisztráció helytelen adatokkal","Regisztráció tesztelése nem megfelelő formátumú adatokkal"
"failed","Thu May 04 14:13:51 GMT 2023","Thu May 04 14:13:52 GMT 2023","1580","","ProfileTest","","ProfileTest","testEditProfile","A profil adatainak módosítása",""
"passed","Thu May 04 14:13:49 GMT 2023","Thu May 04 14:13:51 GMT 2023","1954","","ProfileTest","","ProfileTest","testDeleteProfileAndLogin","Profil törlése és belépés",""
"passed","Thu May 04 14:14:07 GMT 2023","Thu May 04 14:14:11 GMT 2023","3138","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginMultipleUsers","Bejelentkezés több felhasználóval",""
"passed","Thu May 04 14:14:06 GMT 2023","Thu May 04 14:14:07 GMT 2023","1181","","ButtonsTest","","ButtonsTest","testSeeOurWorkButton","See Our Work button teszt",""
"failed","Thu May 04 14:13:52 GMT 2023","Thu May 04 14:13:54 GMT 2023","2024","","ProfileTest","","ProfileTest","testModify","A profil adatainak módosítása,beviteli mezők tesztelése",""
"passed","Thu May 04 14:14:12 GMT 2023","Thu May 04 14:14:13 GMT 2023","1068","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithValidUser","Bejelentkezés érvényes adatokkal",""
"passed","Thu May 04 14:14:00 GMT 2023","Thu May 04 14:14:01 GMT 2023","1253","","ButtonsTest","","ButtonsTest","testConnectWithUs","Connect With Us gomb teszt",""
