"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 08:47:52 GMT 2023","Wed May 03 08:47:53 GMT 2023","1084","","ButtonsTest","","ButtonsTest","testAboutButton","About gomb teszt",""
"passed","Wed May 03 08:47:58 GMT 2023","Wed May 03 08:47:59 GMT 2023","1209","","ButtonsTest","","ButtonsTest","testPortfolioButton","Portfolio gomb teszt",""
"passed","Wed May 03 08:47:32 GMT 2023","Wed May 03 08:47:33 GMT 2023","968","","RegistrationTest","","RegistrationTest","testRegistrationValidData","Regisztráció helyes adatokkal","Regisztráció tesztelése megfelelő formátumú adatokkal"
"passed","Wed May 03 08:47:41 GMT 2023","Wed May 03 08:47:43 GMT 2023","1607","","ProfileTest","","ProfileTest","testDeleteData","Adatok törlése",""
"passed","Wed May 03 08:48:05 GMT 2023","Wed May 03 08:48:06 GMT 2023","813","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithInvalidUser","Bejelentkezés helytelen adatokkal",""
"passed","Wed May 03 08:48:04 GMT 2023","Wed May 03 08:48:05 GMT 2023","775","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithEmptyInput","Bejelentkezés üres mezőkkel",""
"failed","Wed May 03 08:47:29 GMT 2023","Wed May 03 08:47:31 GMT 2023","1407","","RegistrationTest","","RegistrationTest","testRegistrationEmptyFields","Regisztráció üres mezőkkel","Regisztráció tesztelése a mezők kitöltése nélkül"
"passed","Wed May 03 08:47:39 GMT 2023","Wed May 03 08:47:41 GMT 2023","2181","","ContactTest","","ContactTest","testFillContact","Üzenetküldés tesztelése",""
"passed","Wed May 03 08:47:59 GMT 2023","Wed May 03 08:48:00 GMT 2023","1288","","ButtonsTest","","ButtonsTest","testProfileButton","Profile gomb teszt",""
"passed","Wed May 03 08:47:53 GMT 2023","Wed May 03 08:47:54 GMT 2023","1364","","ButtonsTest","","ButtonsTest","testBlogButton","Blog gomb teszt",""
"passed","Wed May 03 08:47:44 GMT 2023","Wed May 03 08:47:46 GMT 2023","2039","","ProfileTest","","ProfileTest","testDeleteProfileAndLogin","Profil törlése és belépés",""
"passed","Wed May 03 08:47:33 GMT 2023","Wed May 03 08:47:35 GMT 2023","1885","","AboutTest","","AboutTest","getNamesTest","Dolgozók nevének ellenőrzése",""
"passed","Wed May 03 08:47:49 GMT 2023","Wed May 03 08:47:50 GMT 2023","776","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditions","'Terms and conditions' megjelenése","A 'Terms and conditions' ablak láthatóságának tesztelése"
"passed","Wed May 03 08:47:51 GMT 2023","Wed May 03 08:47:51 GMT 2023","562","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAfterClick","'Terms and conditions' elfogadása","A 'Terms and conditions' ablak felugrik és a felhasználó el tudja fogadni"
"passed","Wed May 03 08:47:35 GMT 2023","Wed May 03 08:47:36 GMT 2023","1078","","AboutTest","","AboutTest","testSaveTextFromAboutPage","Leírás ellenőrzése",""
"failed","Wed May 03 08:47:47 GMT 2023","Wed May 03 08:47:49 GMT 2023","1967","","ProfileTest","","ProfileTest","testModify","A profil adatainak módosítása,beviteli mezők tesztelése",""
"passed","Wed May 03 08:47:54 GMT 2023","Wed May 03 08:47:55 GMT 2023","1165","","ButtonsTest","","ButtonsTest","testConnectWithUs","Connect With Us gomb teszt",""
"passed","Wed May 03 08:48:00 GMT 2023","Wed May 03 08:48:01 GMT 2023","1027","","ButtonsTest","","ButtonsTest","testSeeOurWorkButton","See Our Work button teszt",""
"failed","Wed May 03 08:47:43 GMT 2023","Wed May 03 08:47:44 GMT 2023","1176","","ProfileTest","","ProfileTest","testDeleteProfile","Profil törlése",""
"passed","Wed May 03 08:48:01 GMT 2023","Wed May 03 08:48:04 GMT 2023","3028","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginMultipleUsers","Bejelentkezés több felhasználóval",""
"failed","Wed May 03 08:47:57 GMT 2023","Wed May 03 08:47:58 GMT 2023","1199","","ButtonsTest","","ButtonsTest","testHomeButton","Home gomb teszt",""
"passed","Wed May 03 08:47:36 GMT 2023","Wed May 03 08:47:39 GMT 2023","2653","","PortfolioTest","","PortfolioTest","testGetProducts","Termékek neveinek ellenőrzése",""
"passed","Wed May 03 08:48:07 GMT 2023","Wed May 03 08:48:08 GMT 2023","1019","","LoginAndLogoutTest","","LoginAndLogoutTest","testLogout","Kijelentkezés",""
"passed","Wed May 03 08:47:50 GMT 2023","Wed May 03 08:47:51 GMT 2023","576","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAcceptAndRefresh","'Terms and conditions' elfogadása majd frissítés","'Terms and conditions' elfogadása, majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Wed May 03 08:48:06 GMT 2023","Wed May 03 08:48:07 GMT 2023","977","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithValidUser","Bejelentkezés érvényes adatokkal",""
"failed","Wed May 03 08:47:31 GMT 2023","Wed May 03 08:47:32 GMT 2023","1436","","RegistrationTest","","RegistrationTest","testRegistrationInvalidData","Regisztráció helytelen adatokkal","Regisztráció tesztelése nem megfelelő formátumú adatokkal"
"passed","Wed May 03 08:47:55 GMT 2023","Wed May 03 08:47:57 GMT 2023","1112","","ButtonsTest","","ButtonsTest","testContactButton","Get in touch gomb teszt",""
"passed","Wed May 03 08:47:20 GMT 2023","Wed May 03 08:47:29 GMT 2023","9298","","RegistrationTest","","RegistrationTest","testRegistrationAndVerify","Regisztráció és ellenőrzés","Egy felhasználó létrehozása majd azzal történő bejelentkezés"
