"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 16:00:36 GMT 2023","Tue May 02 16:00:39 GMT 2023","2838","","PortfolioTest","","PortfolioTest","testGetProducts","Termékek neveinek ellenőrzése",""
"passed","Tue May 02 16:01:11 GMT 2023","Tue May 02 16:01:12 GMT 2023","1171","","LoginAndLogoutTest","","LoginAndLogoutTest","testLogout","Kijelentkezés",""
"passed","Tue May 02 16:00:35 GMT 2023","Tue May 02 16:00:36 GMT 2023","1256","","AboutTest","","AboutTest","testSaveTextFromAboutPage","Leírás ellenőrzése",""
"failed","Tue May 02 16:00:49 GMT 2023","Tue May 02 16:00:51 GMT 2023","2216","","ProfileTest","","ProfileTest","testModify","A profil adatainak módosítása,beviteli mezők tesztelése",""
"passed","Tue May 02 16:00:53 GMT 2023","Tue May 02 16:00:54 GMT 2023","670","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsXAndRefresh","'Terms and conditions' elutasítása majd frissítés","'Terms and conditions' ablak bezárása,majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Tue May 02 16:00:45 GMT 2023","Tue May 02 16:00:47 GMT 2023","2315","","ProfileTest","","ProfileTest","testDeleteProfileAndLogin","Profil törlése és belépés",""
"failed","Tue May 02 16:00:29 GMT 2023","Tue May 02 16:00:30 GMT 2023","1530","","RegistrationTest","","RegistrationTest","testRegistrationEmptyFields","Regisztráció üres mezőkkel","Regisztráció tesztelése a mezők kitöltése nélkül"
"passed","Tue May 02 16:01:09 GMT 2023","Tue May 02 16:01:11 GMT 2023","1118","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithValidUser","Bejelentkezés érvényes adatokkal",""
"passed","Tue May 02 16:00:54 GMT 2023","Tue May 02 16:00:55 GMT 2023","1237","","ButtonsTest","","ButtonsTest","testAboutButton","About gomb teszt",""
"passed","Tue May 02 16:00:55 GMT 2023","Tue May 02 16:00:56 GMT 2023","1426","","ButtonsTest","","ButtonsTest","testBlogButton","Blog gomb teszt",""
"failed","Tue May 02 16:00:30 GMT 2023","Tue May 02 16:00:32 GMT 2023","1585","","RegistrationTest","","RegistrationTest","testRegistrationInvalidData","Regisztráció helytelen adatokkal","Regisztráció tesztelése nem megfelelő formátumú adatokkal"
"passed","Tue May 02 16:00:33 GMT 2023","Tue May 02 16:00:35 GMT 2023","2040","","AboutTest","","AboutTest","getNamesTest","Dolgozók nevének ellenőrzése",""
"passed","Tue May 02 16:00:58 GMT 2023","Tue May 02 16:00:59 GMT 2023","1467","","ButtonsTest","","ButtonsTest","testContactButton","Get in touch gomb teszt",""
"passed","Tue May 02 16:01:09 GMT 2023","Tue May 02 16:01:09 GMT 2023","957","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithInvalidUser","Bejelentkezés helytelen adatokkal",""
"passed","Tue May 02 16:00:39 GMT 2023","Tue May 02 16:00:42 GMT 2023","2430","","ContactTest","","ContactTest","testFillContact","Üzenetküldés tesztelése",""
